0,1,2,c3
CMS,0.067367,80.0,0.05706813846954768
STT,0.107404,70.0,0.07961135349889986
NLOK,0.057630999999999995,69.0,0.04210772304718124
HLT,0.114633,68.0,0.08254201804448337
XRX,0.025756,68.0,0.01854572607149524
WEC,0.10960299999999999,65.0,0.0754383724123197
CI,0.286767,63.0,0.19130496171406203
INTU,0.261194,59.0,0.16318180010344221
WRK,0.040432,58.0,0.024831887371940944
XRAY,0.048972,56.0,0.02903971698296618
EQIX,0.184698,56.0,0.10952335308584267
RL,0.022755,56.0,0.013493399492513996
HCA,0.142451,53.0,0.07994621065129319
CXO,0.065163,52.0,0.035880701524622416
SNA,0.034013,52.0,0.018728577581710208
XEC,0.01874,52.0,0.010318805864853123
COG,0.026593000000000002,51.0,0.014361308823748049
CINF,0.058125,50.0,0.030774392029317577
FOXA,0.049876,50.0,0.026406943257707413
ZION,0.032574,49.0,0.0169014390545158
IEX,0.047743,48.0,0.024266517448765262
CF,0.036395,48.0,0.01849862602994809
GE,0.376411,47.0,0.18733403006380403
DISCA,0.01873,46.0,0.00912330346137443
VRTX,0.22046100000000002,46.0,0.1073856168925824
EOG,0.184281,45.0,0.08781113400084653
PXD,0.08956900000000001,45.0,0.0426802299820482
ROP,0.141705,44.0,0.0660228644440897
TSN,0.09639400000000001,44.0,0.04491166857361125
MRO,0.038958,43.0,0.017738693120399354
CVX,0.805041,42.0,0.3580336130801898
TDG,0.114283,41.0,0.049616028771009554
PRGO,0.029426,41.0,0.012775314461606076
NBL,0.04116,41.0,0.01786963716576178
NRG,0.035492,40.0,0.015033045634815168
FCX,0.06768300000000001,40.0,0.028667914676580496
FE,0.09572,40.0,0.040543309144722976
TXT,0.038441,39.0,0.015875075356889767
BA,0.646171,39.0,0.2668508446303899
GD,0.1551,39.0,0.06405203266963926
HON,0.47406099999999995,39.0,0.1957741499639062
MYL,0.041007,38.0,0.01650053807138291
CAT,0.29749899999999996,38.0,0.11970867353618514
APA,0.044972000000000005,38.0,0.01809598844456391
MPC,0.135984,38.0,0.054717710856657
MOS,0.027884,38.0,0.011220060077119542
OXY,0.15128699999999998,38.0,0.06087538476858356
EIX,0.099637,38.0,0.0400922796551413
NUE,0.059011,38.0,0.02374504967762521
PWR,0.021484,37.0,0.008417311111996827
SYK,0.245517,37.0,0.09619218824632865
ALB,0.031164999999999998,37.0,0.01221027279861204
