0,1,2,c3
AIG,0.165025,29.0,0.05067622444542137
PEG,0.107801,29.0,0.03310375804539233
RJF,0.042813,29.0,0.013147106178953642
ED,0.10763900000000001,29.0,0.033054010744315784
XEL,0.123928,29.0,0.0380560711593527
F,0.130454,30.0,0.04144147135785904
ABBV,0.480504,30.0,0.1526422551499893
NEE,0.448833,30.0,0.14258129236330008
WAB,0.052845,30.0,0.016787331579760385
GOOGL,1.581541,30.0,0.5024099380071118
NOC,0.219412,30.0,0.06970086094386196
PH,0.096751,30.0,0.030735000807520053
UTX,0.453471,30.0,0.14405465112698498
GM,0.162324,31.0,0.05328450572551409
DD,0.166801,31.0,0.05475412655874348
AMZN,2.847172,31.0,0.9346131978975593
DTE,0.092964,31.0,0.030516379526543777
COP,0.259899,31.0,0.08531449294962783
C,0.643727,31.0,0.2113099419504695
PSX,0.16908800000000002,31.0,0.055504857594168004
SHW,0.17446199999999998,31.0,0.057268927810333894
ABT,0.567947,31.0,0.1864343853853315
PPG,0.10923,31.0,0.03585585964119849
HAL,0.07608,31.0,0.0249740346196318
PNR,0.028524,31.0,0.009363293421272048
LMT,0.38367399999999996,31.0,0.12594489693286814
AGN,0.231086,31.0,0.07585633233586007
WFC,0.689992,31.0,0.2264968992543242
AEP,0.174964,31.0,0.057433714421520225
NI,0.038829,32.0,0.013157176354203496
AAL,0.040475,32.0,0.013714922169934493
COTY,0.012462,32.0,0.004222738976694841
ECL,0.175597,32.0,0.05950090644284095
WMB,0.1052,32.0,0.03564693791913796
MKC,0.07407799999999999,32.0,0.025101272501653053
SWKS,0.07715,32.0,0.026142217304767047
GS,0.28970500000000005,32.0,0.09816631321163369
FTV,0.083827,32.0,0.028404713545129065
KHC,0.07140099999999999,32.0,0.024194173140345714
CNP,0.048987,32.0,0.016599206728562844
L,0.049236,32.0,0.016683580184283998
SWK,0.093525,32.0,0.031690873278397126
HES,0.06612799999999999,32.0,0.022407421204531888
LUV,0.095346,32.0,0.032307917707586765
DHR,0.37585799999999997,33.0,0.13133916473074342
SJM,0.043237,33.0,0.015108661956013052
BDX,0.27260100000000004,33.0,0.09525721853669576
MLM,0.059541,33.0,0.020805903312509495
VMC,0.067105,33.0,0.023449054295123523
MNST,0.09426,33.0,0.03293805018788978
DOV,0.063086,33.0,0.02204466193669865
FB,1.942684,33.0,0.6788481125738433
PFE,0.818092,33.0,0.28587264326661493
LLY,0.43573,34.0,0.15687469368559986
ZBH,0.11139600000000001,34.0,0.040105600665093256
NOV,0.032639999999999995,34.0,0.011751290941404032
DVN,0.037248,34.0,0.013410296721366958
MU,0.23243899999999998,34.0,0.08368438465468786
SO,0.25253000000000003,34.0,0.09091769305860176
BSX,0.219189,34.0,0.07891402298270248
DUK,0.24729,34.0,0.08903115002756751
AES,0.049293000000000003,34.0,0.017746825501673683
UHS,0.042444,34.0,0.015280998551377233
CE,0.053066999999999996,34.0,0.019105568516773523
MCHP,0.094671,34.0,0.03408414413951168
D,0.250206,35.0,0.09273043049395618
ATO,0.049839,35.0,0.01847114747603288
MMM,0.37806,35.0,0.1401152112760888
PCAR,0.098218,35.0,0.03640119510425565
ISRG,0.251788,35.0,0.09331674553452851
ETR,0.090289,35.0,0.03346257819104582
ADM,0.091848,35.0,0.03404036905593346
LNT,0.048549,35.0,0.017993052405022577
RTN,0.23435,36.0,0.08933547898306776
LEG,0.024248,36.0,0.00924346786593312
IDXX,0.090289,36.0,0.03441865185364713
HOLX,0.052674,36.0,0.020079611777060424
AEE,0.070037,36.0,0.02669848065516158
JNJ,1.419832,36.0,0.5412475860699255
PPL,0.09425499999999999,36.0,0.035930512359927676
QRVO,0.048591,36.0,0.018523150242228482
J,0.046032,36.0,0.01754764569468135
HFC,0.025788,37.0,0.010103594254150723
FLS,0.023434,37.0,0.009181310212182723
VLO,0.138429,37.0,0.0542357084305813
FMC,0.04747,37.0,0.018598480659397194
XOM,1.05996,37.0,0.4152864031964325
PWR,0.021484,37.0,0.008417311111996827
ALB,0.031164999999999998,37.0,0.01221027279861204
SYK,0.245517,37.0,0.09619218824632865
APA,0.044972000000000005,38.0,0.01809598844456391
NUE,0.059011,38.0,0.02374504967762521
MOS,0.027884,38.0,0.011220060077119542
MYL,0.041007,38.0,0.01650053807138291
OXY,0.15128699999999998,38.0,0.06087538476858356
CAT,0.29749899999999996,38.0,0.11970867353618514
MPC,0.135984,38.0,0.054717710856657
EIX,0.099637,38.0,0.0400922796551413
TXT,0.038441,39.0,0.015875075356889767
BA,0.646171,39.0,0.2668508446303899
HON,0.47406099999999995,39.0,0.1957741499639062
GD,0.1551,39.0,0.06405203266963926
FCX,0.06768300000000001,40.0,0.028667914676580496
NRG,0.035492,40.0,0.015033045634815168
FE,0.09572,40.0,0.040543309144722976
TDG,0.114283,41.0,0.049616028771009554
NBL,0.04116,41.0,0.01786963716576178
PRGO,0.029426,41.0,0.012775314461606076
CVX,0.805041,42.0,0.3580336130801898
MRO,0.038958,43.0,0.017738693120399354
ROP,0.141705,44.0,0.0660228644440897
TSN,0.09639400000000001,44.0,0.04491166857361125
EOG,0.184281,45.0,0.08781113400084653
PXD,0.08956900000000001,45.0,0.0426802299820482
VRTX,0.22046100000000002,46.0,0.1073856168925824
DISCA,0.01873,46.0,0.00912330346137443
GE,0.376411,47.0,0.18733403006380403
IEX,0.047743,48.0,0.024266517448765262
CF,0.036395,48.0,0.01849862602994809
ZION,0.032574,49.0,0.0169014390545158
FOXA,0.049876,50.0,0.026406943257707413
CINF,0.058125,50.0,0.030774392029317577
COG,0.026593000000000002,51.0,0.014361308823748049
XEC,0.01874,52.0,0.010318805864853123
SNA,0.034013,52.0,0.018728577581710208
CXO,0.065163,52.0,0.035880701524622416
HCA,0.142451,53.0,0.07994621065129319
RL,0.022755,56.0,0.013493399492513996
EQIX,0.184698,56.0,0.10952335308584267
XRAY,0.048972,56.0,0.02903971698296618
WRK,0.040432,58.0,0.024831887371940944
INTU,0.261194,59.0,0.16318180010344221
CI,0.286767,63.0,0.19130496171406203
WEC,0.10960299999999999,65.0,0.0754383724123197
HLT,0.114633,68.0,0.08254201804448337
XRX,0.025756,68.0,0.01854572607149524
NLOK,0.057630999999999995,69.0,0.04210772304718124
STT,0.107404,70.0,0.07961135349889986
CMS,0.067367,80.0,0.05706813846954768
BRK.B,1.635744,,
GOOG,1.579517,,
LIN,0.417663,,
TFC,0.272692,,
AMD,0.201756,,
LHX,0.173841,,
DOW,0.141693,,
CTVA,0.079332,,
ALGN,0.07509,,
AMCR,0.063769,,
WCG,0.061871,,
EVRG,0.055705,,
BKR,0.055510000000000004,,
FANG,0.053736,,
TTWO,0.051877,,
MKTX,0.050676,,
ZBRA,0.04981,,
ODFL,0.048306,,
LW,0.04824,,
STE,0.047569,,
BF.B,0.046844,,
ARNC,0.04222,,
HII,0.041636,,
DISCK,0.038516,,
LYV,0.038301,,
FTI,0.030644,,
ALK,0.029747000000000003,,
ABMD,0.029588,,
FLIR,0.02652,,
FOX,0.022215000000000002,,
HRB,0.018133,,
UA,0.013380000000000001,,
NWS,0.0068260000000000005,,
